Proposta,Ano da proposta,IBGE,UF,Município,Nome da unidade,Componente,Porte,Situação no SISMOB,Data do repasse,Execução física (%) SISMOB,Data prevista de conclusão SISMOB,Dias sem monitoramento SISMOB,Data do último contato equipe PAC,Situação equipe PAC,Prioridade de contato,Ações,Quem fez o contato?,Data do contato,Execução informada pelo ente (%),Data/Previsão de conclusão informada pelo ente,Data/Previsão de inauguração informada pelo ente,Observações e problemas
10392418000124003,2024,260005,PE,Abreu e Lima,Ubs Matinha,Unidade Básica de Saúde,I,Em execução e conclusão,6/20/2025,100,5/30/2026,2,5/27/2026,Em funcionamento,Baixa,"• Pedir superação de etapa 'Execução e conclusão'
",,,,,,
11308823000124001,2024,260010,PE,Afogados da Ingazeira,Oficina Ortopédica ,Oficina Ortopédica,Fixa,Em início de execução,4/24/2025,21,9/15/2026,32,,Em início de execução,Alta,"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
11308823000124003,2024,260010,PE,Afogados da Ingazeira,Ubs - Ponte 2,Unidade Básica de Saúde,I,Em início de execução,4/1/2025,30,9/15/2026,32,,Em início de execução,Alta,"• Pedir superação de etapa 'Início de execução'
• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
11308823000125005,2025,260010,PE,Afogados da Ingazeira,Ubs Mandacaru I,Unidade Básica de Saúde,I,Em início de execução,2/24/2026,10,9/18/2026,6,,Em início de execução,Baixa,"• Atualizar data de conclusão
",,,,,,
11308823000125006,2025,260010,PE,Afogados da Ingazeira,Caps Iii - 24H,Centro de Atenção Psicossocial,III,Em início de execução,4/1/2026,7,12/9/2026,6,,Em início de execução,Baixa,,,,,,,
10316445000124001,2024,260040,PE,Água Preta,Ubs - Cruzeiro,Unidade Básica de Saúde,I,Em início de execução,7/3/2025,6,12/31/2026,10,,Em início de execução,Alta,,,,,,,
11209720000124002,2024,260050,PE,Águas Belas,Ubs Maria Elisangela Maria Clemente da Silva,Unidade Básica de Saúde,I,Em início de execução,11/4/2025,0,2/26/2027,143,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
11209720000124005,2024,260050,PE,Águas Belas,Usf Dona Lindu,Unidade Básica de Saúde,I,Em início de execução,2/26/2026,0,2/26/2027,76,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
11209720000125002,2025,260050,PE,Águas Belas,Usf de Curral Novo,Unidade Básica de Saúde,I,0,,0,,0,,Proposta em análise,Baixa,,,,,,,
11419791000124004,2024,260060,PE,Alagoinha,Usf Dr Orisvaldo Inacio da Silva,Unidade Básica de Saúde,I,Em execução e conclusão,2/27/2025,33,2/21/2026,12,6/30/2026,Em execução e conclusão,Alta,"• Atualizar data de conclusão
",,,,,,
